10	1	50	10	-18
10	1	59	14	14
10	1	52	9	6
11	1	49	22	8
11	1	45	24	8
10	1	41	19	18
5	1	32	19	14
1	1	20	25	-18
1	2	16	34	-14
2	2	14	41	2
1	2	12	40	-12
7	2	23	46	6
2	2	20	43	16
1	2	17	35	6
6	2	30	32	-20
11	1	42	24	0
11	1	42	21	12
5	1	36	14	4
6	1	34	25	10
6	1	29	26	2
6	1	26	28	-12
1	2	16	34	-2
1	2	14	35	6
6	2	21	32	0
1	2	20	32	6
6	1	29	26	4
1	2	17	27	2
1	1	20	26	-12
6	2	23	32	4
6	1	25	30	2
6	2	24	29	2
6	2	28	24	-6
5	1	31	18	0
5	1	31	17	20
5	1	21	20	-14
1	1	15	28	-22
1	2	19	39	12
6	1	25	33	-8
1	2	17	37	0
6	2	22	37	24
6	1	24	25	4
6	1	21	23	0
6	2	23	22	-10
1	2	18	28	0
1	2	11	28	-14
1	2	14	35	24
5	1	23	19	-18
5	1	32	14	14
6	2	25	21	-16
6	2	22	33	8
6	2	24	29	-4
6	0	31	22	2
6	1	30	24	-16
6	1	38	30	10
6	1	33	21	14
6	1	26	25	-2
6	1	27	22	-10
1	1	19	32	-10
6	2	23	37	-4
6	2	22	39	-20
2	2	20	49	12
7	2	21	43	10
6	2	25	38	16
6	1	30	27	-16
5	1	38	17	4
5	1	36	19	14
6	1	29	25	0
6	1	29	22	-2
6	1	30	21	4
1	2	20	28	-10
1	2	17	33	-30
2	2	17	48	-18
2	2	18	57	14
7	1	22	50	18
2	2	19	41	14
6	2	26	34	16
6	1	26	23	-10
5	2	31	20	8
5	1	27	18	8
1	2	18	23	-14
1	2	15	30	4
6	2	21	28	4
5	1	26	19	-2
6	1	27	21	22
0	1	16	12	-12
1	1	20	22	-22
1	2	16	33	4
6	2	23	31	22
0	1	19	20	-14
1	2	17	27	-2
1	2	16	28	-2
6	2	23	29	0
5	1	29	18	-8
5	1	33	15	2
6	1	32	21	8
6	2	28	25	-12
6	1	34	32	6
5	1	31	17	-2
6	2	32	26	14
5	2	25	19	-6
5	0	28	20	16
0	2	20	17	-2
5	2	21	19	-16
5	2	29	20	-28
10	1	43	16	-2
10	1	44	18	4
10	1	42	19	12
5	1	36	20	-10
10	1	41	13	20
6	2	31	27	2
6	1	30	24	10
1	1	20	25	-2
1	1	20	26	0
1	1	17	26	-10
1	1	20	31	-12
1	2	16	37	-18
2	2	14	46	-22
2	2	19	57	16
2	2	18	49	16
2	2	18	41	-6
2	2	13	44	16
1	2	20	36	8
